corp_code,corp_name,stock_code_x,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,fin_total_assets,fin_total_liabilities,fin_total_equity,fin_op_income,emp_total_count,fin_revenue,stock_code_y,stock_code,bsns_year,reprt_code
1510489,프레스티지바이오파마,950210,Y,분기보고서 (2025.09),20251128002047,프레스티지바이오파마,20251128,,541398347.0,172439407.0,368958940.0,-10946913.0,4,,950210,950210,2025,11014
103176,흥국화재,540,Y,[기재정정]분기보고서 (2025.09),20251128001986,흥국화재,20251128,,13116928000000.0,12236700000000.0,880228000000.0,,1,,540,000540,2025,11014
160588,한화,880,Y,[기재정정]분기보고서 (2025.09),20251128001868,한화,20251128,,283912092000000.0,237845642000000.0,46066450000000.0,1344206000000.0,1,17786617000000.0,880,000880,2025,11014
113562,롯데손해보험,400,Y,[기재정정]분기보고서 (2025.09),20251128001857,롯데손해보험,20251128,,14883495000000.0,14292602000000.0,590893000000.0,,1,,400,000400,2025,11014
113058,한화생명,88350,Y,[기재정정]분기보고서 (2025.09),20251128001821,한화생명,20251128,,178482968000000.0,162651105000000.0,15831863000000.0,,1,,88350,088350,2025,11014
112332,미래에셋생명,85620,Y,[기재정정]분기보고서 (2025.09),20251128001786,미래에셋생명,20251128,,33221045823391.0,30729497587120.0,2491548236271.0,,1,,85620,085620,2025,11014
860332,메리츠금융지주,138040,Y,[기재정정]분기보고서 (2025.09),20251128001773,메리츠금융지주,20251128,,132689465217132.0,121285326578648.0,11404138638484.0,,1,7370496338764.0,138040,138040,2025,11014
838500,엘브이엠씨,900140,Y,분기보고서 (2025.09),20251128001700,엘브이엠씨,20251128,,508150677.0,142034735.0,366115942.0,3818636.0,2,60271129.0,900140,900140,2025,11014
117267,동양생명,82640,Y,[기재정정]분기보고서 (2025.09),20251128001680,동양생명,20251128,,35694574000000.0,34352890000000.0,1341684000000.0,,1,,82640,082640,2025,11014
113191,코리안리,3690,Y,[기재정정]분기보고서 (2025.09),20251128001547,코리안리,20251128,,13627734856222.0,10017452940790.0,3610281915432.0,,1,,3690,003690,2025,11014
