stock_code,date,stck_oprc,stck_hgpr,stck_lwpr,stck_prpr,acml_vol
5930,20251127,104100,105500,102700,103500,16453004
5930,20251125,101400,101400,97800,99300,16110054
5930,20251124,97800,99000,96200,96700,29831172
5930,20251121,95600,96800,94500,94800,23103574
5930,20251120,100900,102900,99500,100600,25360435
660,20251127,535000,556000,533000,544000,3654092
660,20251125,546000,550000,518000,519000,3716730
660,20251124,531000,542000,517000,520000,6399162
660,20251121,518000,531000,514000,521000,6646712
660,20251120,595000,597000,570000,571000,4670237
35420,20251127,259500,261500,250500,251500,2028550
35420,20251125,262500,262500,250500,253000,1218659
35420,20251124,267500,269500,259000,261000,1673646
35420,20251121,251000,265000,249500,262500,1278706
35420,20251120,260000,263000,254500,257000,970537
207940,20251127,1662000,1687000,1640000,1646000,70847
207940,20251125,1812000,1812000,1586000,1627000,224828
207940,20251124,1797000,1841000,1650000,1789000,560815
207940,20251121,1221000,1221000,1221000,1221000,0
207940,20251120,1221000,1221000,1221000,1221000,0
5380,20251127,261500,262500,259500,261500,289061
5380,20251125,261000,262000,256500,257500,390393
5380,20251124,262000,262000,257500,257500,610389
5380,20251121,255000,261000,254500,259500,538414
5380,20251120,267000,267500,262000,262000,501196
68270,20251127,188200,188800,185000,185200,379089
68270,20251125,183600,187600,182300,182500,466759
68270,20251124,189300,189500,182100,182100,1959458
68270,20251121,183100,190800,183000,187400,636980
68270,20251120,187100,189500,184600,186800,620451
270,20251127,113000,114000,112800,114000,477958
270,20251125,112200,113200,111000,111200,632037
270,20251124,114900,115000,111100,111100,1566600
270,20251121,111900,114700,111500,114000,680023
270,20251120,115400,116200,113400,113400,651240
5490,20251127,315500,318000,311000,313000,188214
5490,20251125,305500,307000,299500,301000,167675
5490,20251124,312500,312500,300500,302500,478060
5490,20251121,311000,313500,308000,310500,283020
5490,20251120,318500,329500,314500,321500,480880
6400,20251127,307000,307500,300000,303000,256219
6400,20251125,288000,289000,281000,284500,265462
6400,20251124,291500,291500,280500,281000,808887
6400,20251121,289000,293250,287000,288500,345160
6400,20251120,304500,307000,300500,302000,247526
51910,20251127,394500,402500,386000,395500,457285
51910,20251125,365000,369000,359500,363000,251051
51910,20251124,369000,370500,355000,358500,319529
51910,20251121,377500,378000,362750,367000,315503
51910,20251120,397500,399000,388500,388500,174417
35720,20251127,60900,61200,59700,59700,1632051
35720,20251125,59600,59700,57600,58000,1912277
35720,20251124,59300,59500,57600,58800,2217014
35720,20251121,57600,59300,57100,58700,2528224
35720,20251120,59200,59600,58600,59100,2269237
3550,20251127,79700,80500,78500,78900,177591
3550,20251125,79500,80600,77700,78400,216481
3550,20251124,80400,80800,77700,77700,652266
3550,20251121,79900,80000,78300,79300,232718
3550,20251120,82400,82500,80600,80600,190942
3670,20251127,206500,209000,202000,207000,214349
3670,20251125,190500,191500,186000,187100,209557
3670,20251124,194400,194500,185800,186800,343477
3670,20251121,192800,197400,191000,192500,257378
3670,20251120,199900,203750,197800,200000,199767
12330,20251127,297500,307000,297500,304500,229815
12330,20251125,296000,297500,291500,293500,104305
12330,20251124,298500,299500,293000,293500,200935
12330,20251121,296000,297000,290000,296000,135555
12330,20251120,295500,299000,294500,296000,141245
66570,20251127,86600,87100,85000,85400,548757
66570,20251125,85800,87700,85100,85200,485683
66570,20251124,87500,87500,84000,84000,759352
66570,20251121,85200,86700,84900,86400,311895
66570,20251120,88900,89200,87300,87300,355910
28260,20251127,237000,239000,230500,231500,368085
28260,20251125,225000,230500,223500,228500,468197
28260,20251124,222000,223000,213000,218000,546634
28260,20251121,218000,222000,212000,216000,408920
28260,20251120,218000,226500,217500,224000,328703
32830,20251127,151400,154700,151400,153400,149611
32830,20251125,149100,150400,145400,146700,191417
32830,20251124,149600,151000,144500,144800,380948
32830,20251121,146200,147300,144000,146400,135170
32830,20251120,149600,151500,147500,147500,188877
